PLAYER,PAGE,YEARS,TEAMS,SALARIES
Sarunas Jasikevicius,https://www.basketball-reference.com/players/j/jasiksa01.html, 2006;2007;,IND;GSW;,4000000;4000000;
Sarunas Marciulionis,https://www.basketball-reference.com/players/m/marcisa01.html, 1990;1991;1992;1993;1994;1995;1996;1997;,GSW;GSW;GSW;GSW;GSW;SEA;SAC;DEN;,1400000;1270000;1267000;1500000;1900000;2100000;2400000;2500000;
Zan Tabak,https://www.basketball-reference.com/players/t/tabakza01.html, 1995;1996;1997;1998;1900;2001;,HOU;TOR;TOR;TOR;IND;IND;,500000;650000;800000;950000;1100000;1200000;
Zarko Cabarkapa,https://www.basketball-reference.com/players/c/cabarza01.html, 2004;2005;2006;2007;,PHO;PHO;GSW;GSW;,1221240;1312800;1404360;2157097;
Zarko Paspalj,https://www.basketball-reference.com/players/p/paspaza01.html, 
Zeljko Rebraca,https://www.basketball-reference.com/players/r/rebraze01.html, 2002;2003;2004;2005;2006;2007;,DET;DET;DET;LAC;LAC;LAC;,3500000;3850000;4200000;2500000;3000000;3240000;
A.C. Green,https://www.basketball-reference.com/players/g/greenac01.html, 1986;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;1900;2001;,LAL;LAL;LAL;LAL;LAL;LAL;LAL;PHO;PHO;PHO;DAL;DAL;DAL;LAL;MIA;,128750;218750;269000;1500000;1750000;1750000;1750000;1885000;6472600;6473000;4851000;5095088;5125088;1700000;2250000;
A.J. Bramlett,https://www.basketball-reference.com/players/b/bramlaj01.html, 1900;,CLE;,118974;
A.J. English,https://www.basketball-reference.com/players/e/engliaj01.html, 1991;1992;1993;1994;1994;,WSB;WSB;WSB;CHI;POR;,275000;325000;406000;150000;150000;
A.J. Guyton,https://www.basketball-reference.com/players/g/guytoaj01.html, 2001;2002;2003;,CHI;CHI;GSW;,316969;465850;18748;
A.J. Hammons,https://www.basketball-reference.com/players/h/hammoaj01.html, 2017;2018;2019;2020;2021;,DAL;MIA;MIA;MIA;MIA;,650000;1312611;350088;350087;350087;
A.J. Price,https://www.basketball-reference.com/players/p/priceaj01.html, 2010;2011;2012;2013;2015;,IND;IND;IND;WAS;PHO;,457588;762195;854389;885120;62552;
A.J. Wynder,https://www.basketball-reference.com/players/w/wyndeaj01.html, 1991;1992;1993;,BOS;BOS;BOS;,30000;130000;140000;
Aaron Brooks,https://www.basketball-reference.com/players/b/brookaa01.html, 2008;2009;2010;2011;2013;2014;2014;2015;2016;2017;2018;,HOU;HOU;HOU;PHO;SAC;SAC;HOU;CHI;CHI;IND;MIN;,972720;1045560;1118520;2016692;3250000;3396250;1027424;1145685;2000000;2700000;1471382;
Aaron Gordon,https://www.basketball-reference.com/players/g/gordoaa01.html, 2015;2016;2017;2018;2019;2020;2021;,ORL;ORL;ORL;ORL;ORL;ORL;DEN;,3992040;4171680;4351320;5504420;21590909;19863636;18136364;
Aaron Gray,https://www.basketball-reference.com/players/g/grayaa01.html, 2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;,CHI;CHI;NOH;NOH;TOR;TOR;TOR;DET;DET;DET;,427163;711517;1000497;1028840;2500000;2575000;2690875;1227985;452059;452059;
Aaron Harrison,https://www.basketball-reference.com/players/h/harriaa01.html, 2016;2017;2018;,CHO;CHO;DAL;,525093;375579;174571;
Aaron Henry,https://www.basketball-reference.com/players/h/henryaa01.html, 
Aaron Holiday,https://www.basketball-reference.com/players/h/holidaa01.html, 2019;2020;2021;,IND;IND;IND;,1911960;2239200;2345640;
Aaron Jackson,https://www.basketball-reference.com/players/j/jacksaa01.html, 2018;,HOU;,4608;
Aaron McKie,https://www.basketball-reference.com/players/m/mckieaa01.html, 1995;1996;1997;1998;1999;1900;2001;2002;2003;2004;2005;2006;2006;2007;2007;2008;2008;,POR;POR;POR;DET;PHI;PHI;PHI;PHI;PHI;PHI;PHI;PHI;LAL;PHI;LAL;PHI;MEM;,650000;845000;1040000;1235000;1430000;1624000;1818000;4000000;4500000;5000000;5500000;6000000;2500000;5570874;2500000;7000000;750000;
Aaron Miles,https://www.basketball-reference.com/players/m/milesaa01.html, 2006;,GSW;,155614;
Aaron Nesmith,https://www.basketball-reference.com/players/n/nesmiaa01.html, 2021;,BOS;,3458400;
Aaron Swinson,https://www.basketball-reference.com/players/s/swinsaa01.html, 1995;,PHO;,102424;
Aaron Wiggins,https://www.basketball-reference.com/players/w/wiggiaa01.html, 
