1984-07-01,Waived,SAS,Brant Weidner
1984-07-10,Waived,KCK,Dave Robisch
1984-07-11,Signed,ATL,Walker Russell
1984-07-25,Waived,DEN,Anthony Roberts
1984-07-25,Signed,POR,Tom Scheffler
1984-08-01,Signed,NYK,Ron Cavenall
1984-08-01,Signed,NYK,Clinton Wheeler
1984-08-03,Signed,DEN,Elston Turner
1984-08-08,Traded,ATL;CLE,[John Garris;Stewart Granger];[Johnny Davis]
1984-08-10,Traded,CHI;HOU,[Caldwell Jones];[Mitchell Wiggins;1985 Round 2 Draft Pick (Tyrone Corbin)]
1984-08-24,Waived,NYK,Clinton Wheeler
1984-09-01,Signed,CLE,Dale Wilkinson
1984-09-01,Waived,UTA,Jim Rowinski
1984-09-07,Signed,GSW,Chuck Aleksinas
1984-09-09,Signed,GSW,Peter Thibeaux
1984-09-11,Waived,SAS,Charles Jones
1984-09-14,Traded,CHI;DAL,[1986 Round 2 Draft Pick (Rafael Addison)];[Wallace Bryant]
1984-09-14,Traded,PHI;IND,[];[Leo Rautins]
1984-09-14,Traded,PHI,Leo Rautins
1984-09-15,Signed,LAL,Chuck Nevitt
1984-09-17,Traded,IND;HOU,[];[Kevin McKenna]
1984-09-17,Traded,IND,Kevin McKenna
1984-09-20,Signed,CHI,Charles Jones
1984-09-21,Signed,SEA,John Schweitz
1984-09-23,Signed,SEA,Frank Brickowski
1984-09-24,Signed,PHO,Mike Holton
1984-09-24,Waived,SEA,Steve Hayes
1984-09-25,Traded,WSB;LAC,[];[Bryan Warrick]
1984-09-25,Traded,WSB,Bryan Warrick
1984-09-26,Signed,HOU,Lionel Hollins
1984-09-26,Waived,POR,Tom Piotrowski
1984-09-27,Signed,NJN,George Johnson
1984-09-27,Signed,CHI,Dirk Minniefield
1984-09-27,Signed,CLE,Robert Smith
1984-09-27,Signed,WSB,Dudley Bradley
1984-09-28,Signed,DET,Bobby Cattage
1984-09-28,Signed,IND,Tony Brown
1984-09-28,Signed,UTA,Billy Paultz
1984-09-29,Traded,NYK;CLE,[];[Campy Russell]
1984-09-29,Traded,LAC;MIL,[Junior Bridgeman;Harvey Catchings;Marques Johnson];[Terry Cummings;Craig Hodges;Ricky Pierce]
1984-09-29,Traded,NYK,Campy Russell
