date,type,teams,assets
1995-09-18,Traded,TOR;GSW,[Victor Alexander;Martin Lewis;Michael McDonald;Carlos Rogers;Dwayne Whitfield];[B.J. Armstrong]
1995-10-04,Released,TOR,Jerome Kersey
1995-10-05,Signed,TOR,Alvin Robertson
1995-10-06,Signed,TOR,Thomas Hamilton
1995-10-18,Waived,TOR,Thomas Hamilton
1995-11-01,Signed,TOR,Tracy Murray
1995-11-02,Waived,TOR,Dwayne Whitfield
1996-02-02,Waived,TOR,John Salley
1996-02-18,Traded,TOR;NYK,[Doug Christie;Herb Williams];[Victor Alexander;Willie Anderson]
1996-02-18,Traded,NYK;TOR,[Victor Alexander;Willie Anderson];[Doug Christie;Herb Williams]
1996-02-22,Traded,PHI;TOR,[Tony Massenburg;Ed Pinckney;1997 Round 2 Draft Pick (James Collins)];[Sharone Wright]
1996-02-23,Signed,TOR,Dwayne Whitfield
1996-02-23,Waived,TOR,Herb Williams
1996-04-09,Signed,TOR,Dan O'Sullivan
1996-04-18,Waived,TOR,Dan O'Sullivan
1996-06-26,Drafted,TOR,Marcus Camby
1996-07-02,Waived,TOR,Vincenzo Esposito
1996-07-23,Traded,TOR;DAL,[Popeye Jones;1997 Round 1 Draft Pick (John Thomas)];[Jimmy King;1998 Round 1 Draft Pick (Ansu Sesay);1999 Round 2 Draft Pick (Gordan Giricek)]
1996-07-23,Released,TOR,Oliver Miller
1996-07-24,Traded,TOR;NYK,[Hubert Davis];[1997 Round 1 Draft Pick (John Thomas)]
1996-07-24,Released,TOR,Alvin Robertson
1996-07-24,Released,TOR,Dwayne Whitfield
1996-07-24,Traded,NYK;TOR,[1997 Round 1 Draft Pick (John Thomas)];[Hubert Davis]
1996-08-29,Signed,TOR,Walt Williams
1996-10-03,Signed,TOR,Donald Whiteside
1996-10-11,Signed,TOR,Benoit Benjamin
1996-10-15,Waived,TOR,Michael McDonald
1996-11-12,Waived,TOR,Benoit Benjamin
1996-11-13,Signed,TOR,Brad Lohaus
1996-11-29,Signed,TOR,John Long
1996-12-02,Signed,TOR,Earl Cureton
1996-12-02,Waived,TOR,Brad Lohaus
1997-01-06,Waived,TOR,Donald Whiteside
1997-01-12,Signed,TOR,Jimmy Oliver
1997-01-23,Signed,TOR,Clifford Rozier
1997-01-25,Signed,TOR,Reggie Slater
1997-02-01,Signed,TOR,Clifford Rozier
1997-02-03,Signed,TOR,Reggie Slater
1997-02-13,Signed,TOR,Oliver Miller
1997-02-20,Traded,TOR;MIL,[Shawn Respert];[Acie Earl]
1997-06-25,Drafted,TOR,Tracy McGrady
1997-07-02,Released,TOR,Hubert Davis
1997-10-02,Signed,TOR,Chris Garner
1997-10-02,Signed,TOR,Brandon Williams
1997-10-02,Signed,TOR,John Coker
1997-10-06,Waived,TOR,Martin Lewis
1997-10-10,3-team trade,NYK;TOR;POR,[Chris Dudley;2000 Round 1 Draft Pick (Quentin Richardson)];[John Wallace];[1998 Round 1 Draft Pick (Bryce Drew);2007 Round 2 Draft Pick (Taurean Green)]
1997-10-10,3-team trade,TOR;NYK;POR,[John Wallace];[Chris Dudley;2000 Round 1 Draft Pick (Quentin Richardson)];[1998 Round 1 Draft Pick (Bryce Drew);2007 Round 2 Draft Pick (Taurean Green)]
1997-10-10,3-team trade,TOR;NYK;POR,[John Wallace];[2000 Round 1 Draft Pick (Quentin Richardson);Chris Dudley];[2007 Round 2 Draft Pick (Taurean Green);1998 Round 1 Draft Pick (Bryce Drew)]
1997-10-17,Waived,TOR,John Coker
1997-10-21,Signed,TOR,Ed Stokes
1997-10-28,Waived,TOR,Brandon Williams
1997-11-30,Signed,TOR,Oliver Miller
1997-12-01,Signed,TOR,Tim Kempton
1997-12-01,Waived,TOR,Ed Stokes
1998-01-05,Waived,TOR,Tim Kempton
1998-01-06,Signed,TOR,Bob McCann
1998-01-06,Signed,TOR,Lloyd Daniels
1998-01-12,Waived,TOR,Bob McCann
1998-02-13,Traded,TOR;POR,[Kenny Anderson;Gary Trent;Alvin Williams;Bryce Drew;Mirsad Turkcan;Tyson Wheeler];[Carlos Rogers;Damon Stoudamire;Walt Williams]
1998-02-18,Traded,TOR;BOS,[Chauncey Billups;Dee Brown;Roy Rogers;John Thomas];[Kenny Anderson;Popeye Jones;Zan Tabak]
1998-03-19,Waived,TOR,Shawn Respert
1998-06-09,Traded,TOR;HOU,[Kevin Willis];[Roy Rogers;Bryce Drew;Mirsad Turkcan]
1998-06-24,Traded,TOR;GSW,[Vince Carter];[Antawn Jamison]
1998-06-24,Drafted,TOR,Antawn Jamison
1998-06-24,Drafted,TOR,Tyson Wheeler
1998-06-25,Traded,TOR;NYK,[Sean Marks;Charles Oakley];[Marcus Camby]
1998-06-25,Traded,NYK;TOR,[Marcus Camby];[Sean Marks;Charles Oakley]
1999-01-21,3-team trade,TOR;DEN;MIN,[Jonathan Bender;2000 Round 1 Draft Pick (Morris Peterson);Micheal Williams;Zeljko Rebraca];[Tyson Wheeler;Chauncey Billups];[Bobby Jackson;Dean Garrett]
1999-01-21,3-team trade,TOR;DEN;MIN,[2000 Round 1 Draft Pick (Morris Peterson);Micheal Williams;Zeljko Rebraca;Jonathan Bender];[Tyson Wheeler;Chauncey Billups];[Bobby Jackson;Dean Garrett]
1999-01-21,Signed,TOR,Negele Knight
1999-01-21,Signed,TOR,Michael Stewart
1999-01-22,Signed,TOR,LaMark Baker
1999-01-22,Signed,TOR,William Cunningham
1999-02-17,Waived,TOR,William Cunningham
1999-02-19,Waived,TOR,LaMark Baker
1999-06-30,Drafted,TOR,Jonathan Bender
1999-06-30,Drafted,TOR,Aleksandar Radojevic
1999-08-01,Traded,IND;TOR,[Jonathan Bender];[Antonio Davis]
1999-08-01,Released,TOR,Micheal Williams
1999-08-05,Signed,TOR,Dell Curry
1999-08-31,Released,TOR,Negele Knight
1999-09-23,Signed,TOR,Muggsy Bogues
1999-10-04,Signed,TOR,Antonio Lang
2000-02-09,Claimed,TOR,Haywoode Workman
2000-01-14,Signed,TOR,Antonio Lang
2000-06-28,Drafted,TOR,Morris Peterson
2000-06-28,Drafted,TOR,DeeAndre Hulett
2000-08-03,Traded,TOR;ORL,[Fran Vazquez];[Tracy McGrady]
2000-08-11,Signed,TOR,Mark Jackson
2000-08-25,Signed,TOR,Kornel David
2000-09-14,Released,TOR,Haywoode Workman
2000-09-30,Traded,SAC;TOR,[Doug Christie];[Corliss Williamson]
2000-10-02,Signed,TOR,Garth Joseph
2000-10-20,Signed,TOR,Tyrone Corbin
2000-10-25,Signed,TOR,Vladimir Stepania
2000-10-28,Waived,TOR,Garth Joseph
2000-10-30,Waived,TOR,Vladimir Stepania
2001-01-12,Traded,TOR;DEN,[Keon Clark;Tracy Murray;Mamadou N'Diaye];[Garth Joseph;Aleksandar Radojevic;Kevin Willis]
