TEAM,YEAR,WINS,LOSSES,OFFRTG,OFFRANK,DEFRTG,DEFRANK,NETRTG,NETRANK,PLAYOFFS,URL
ATL,1985,34,48,105.9,16/23,107.3,11/23,-1.4,15/23,No Playoffs,https://www.basketball-reference.com/teams/ATL/1985.html
ATL,1986,50,32,107.9,11/23,105.6,6/23,2.4,5/23,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/ATL/1986.html
ATL,1987,57,25,112.6,4/23,105.2,2/23,7.4,2/23,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/ATL/1987.html
ATL,1988,50,32,111.3,5/23,107.6,14/23,3.7,7/23,Lost Round 2 (3-4),https://www.basketball-reference.com/teams/ATL/1988.html
ATL,1989,52,30,112.2,4/25,107.2,9/25,5.0,6/25,Lost Round 1 (2-3),https://www.basketball-reference.com/teams/ATL/1989.html
ATL,1990,41,41,113.0,4/27,111.9,25/27,1.1,14/27,No Playoffs,https://www.basketball-reference.com/teams/ATL/1990.html
ATL,1991,43,39,110.9,8/27,110.1,21/27,0.8,13/27,Lost Round 1 (2-3),https://www.basketball-reference.com/teams/ATL/1991.html
ATL,1992,38,44,107.3,16/27,108.9,16/27,-1.5,16/27,No Playoffs,https://www.basketball-reference.com/teams/ATL/1992.html
ATL,1993,43,39,109.3,10/27,110.2,23/27,-0.9,16/27,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/ATL/1993.html
ATL,1994,57,25,107.2,12/27,101.7,4/27,5.6,4/27,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/ATL/1994.html
ATL,1995,42,40,106.6,18/27,105.2,4/27,1.4,12/27,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/ATL/1995.html
ATL,1996,46,36,109.4,11/29,108.0,16/29,1.4,14/29,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/ATL/1996.html
ATL,1997,56,26,108.5,8/29,102.3,3/29,6.2,4/29,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/ATL/1997.html
ATL,1998,50,32,108.2,6/29,104.3,13/29,4.0,9/29,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/ATL/1998.html
ATL,1999,31,19,100.5,19/29,97.1,2/29,3.4,7/29,Lost Round 2 (0-4),https://www.basketball-reference.com/teams/ATL/1999.html
ATL,2000,28,54,102.0,24/29,107.9,25/29,-5.8,25/29,No Playoffs,https://www.basketball-reference.com/teams/ATL/2000.html
ATL,2001,25,57,98.7,27/29,104.3,18/29,-5.6,25/29,No Playoffs,https://www.basketball-reference.com/teams/ATL/2001.html
ATL,2002,33,49,101.8,24/29,106.4,22/29,-4.6,24/29,No Playoffs,https://www.basketball-reference.com/teams/ATL/2002.html
ATL,2003,35,47,102.3,23/29,106.1,22/29,-3.9,23/29,No Playoffs,https://www.basketball-reference.com/teams/ATL/2003.html
ATL,2004,28,54,101.0,23/29,106.1,25/29,-5.1,26/29,No Playoffs,https://www.basketball-reference.com/teams/ATL/2004.html
ATL,2005,13,69,100.6,29/30,111.1,29/30,-10.5,30/30,No Playoffs,https://www.basketball-reference.com/teams/ATL/2005.html
ATL,2006,26,56,106.4,12/30,111.6,27/30,-5.2,28/30,No Playoffs,https://www.basketball-reference.com/teams/ATL/2006.html
ATL,2007,30,52,103.0,29/30,108.3,23/30,-5.2,29/30,No Playoffs,https://www.basketball-reference.com/teams/ATL/2007.html
ATL,2008,37,45,106.9,16/30,108.9,18/30,-2.0,19/30,Lost Round 1 (3-4),https://www.basketball-reference.com/teams/ATL/2008.html
ATL,2009,47,35,109.3,10/30,107.6,12/30,1.8,13/30,Lost Round 2 (0-4),https://www.basketball-reference.com/teams/ATL/2009.html
ATL,2010,53,29,111.9,2/30,106.7,13/30,5.1,6/30,Lost Round 2 (0-4),https://www.basketball-reference.com/teams/ATL/2010.html
ATL,2011,44,38,106.1,21/30,107.0,13/30,-0.9,16/30,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/ATL/2011.html
ATL,2012,40,26,104.9,16/30,101.2,6/30,3.7,6/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/ATL/2012.html
ATL,2013,44,38,104.8,18/30,104.4,10/30,0.4,13/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/ATL/2013.html
ATL,2014,38,44,105.9,18/30,106.4,14/30,-0.5,17/30,Lost Round 1 (3-4),https://www.basketball-reference.com/teams/ATL/2014.html
ATL,2015,60,22,108.9,6/30,103.1,6/30,5.8,4/30,Lost Round 3 (0-4),https://www.basketball-reference.com/teams/ATL/2015.html
ATL,2016,48,34,105.1,22/30,101.4,2/30,3.7,7/30,Lost Round 2 (0-4),https://www.basketball-reference.com/teams/ATL/2016.html
ATL,2017,43,39,104.9,27/30,105.7,4/30,-0.9,19/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/ATL/2017.html
ATL,2018,24,58,105.0,26/30,110.6,21/30,-5.5,26/30,No Playoffs,https://www.basketball-reference.com/teams/ATL/2018.html
ATL,2019,29,53,108.1,23/30,113.9,27/30,-5.7,26/30,No Playoffs,https://www.basketball-reference.com/teams/ATL/2019.html
ATL,2020,20,47,107.2,26/30,114.8,27/30,-7.6,28/30,No Playoffs,https://www.basketball-reference.com/teams/ATL/2020.html
ATL,2021,41,31,115.7,8/30,113.3,21/30,2.4,10/30,Lost Round 3 (2-4),https://www.basketball-reference.com/teams/ATL/2021.html
ATL,2022,13,14,114.4,2/30,112.5,25/30,1.9,10/30,No Playoffs,https://www.basketball-reference.com/teams/ATL/2022.html
BOS,1985,63,19,112.8,2/23,106.3,5/23,6.5,3/23,Lost Finals (2-4),https://www.basketball-reference.com/teams/BOS/1985.html
BOS,1986,67,15,111.8,3/23,102.6,1/23,9.2,1/23,Won Finals (4-2),https://www.basketball-reference.com/teams/BOS/1986.html
BOS,1987,59,23,113.5,3/23,106.8,9/23,6.7,3/23,Lost Finals (2-4),https://www.basketball-reference.com/teams/BOS/1987.html
BOS,1988,57,25,115.4,1/23,109.4,17/23,6.0,1/23,Lost Round 3 (2-4),https://www.basketball-reference.com/teams/BOS/1988.html
BOS,1989,42,40,110.8,8/25,109.6,20/25,1.2,14/25,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/BOS/1989.html
BOS,1990,52,30,112.0,6/27,107.9,12/27,4.1,7/27,Lost Round 1 (2-3),https://www.basketball-reference.com/teams/BOS/1990.html
BOS,1991,56,26,112.6,4/27,106.7,10/27,5.9,5/27,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/BOS/1991.html
BOS,1992,51,31,110.8,8/27,107.0,9/27,3.8,7/27,Lost Round 2 (3-4),https://www.basketball-reference.com/teams/BOS/1992.html
BOS,1993,48,34,108.7,12/27,107.8,14/27,0.9,13/27,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/BOS/1993.html
BOS,1994,32,50,104.2,19/27,108.7,19/27,-4.4,18/27,No Playoffs,https://www.basketball-reference.com/teams/BOS/1994.html
BOS,1995,35,47,108.6,13/27,110.6,20/27,-2.0,18/27,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/BOS/1995.html
BOS,1996,33,49,106.4,17/29,109.9,22/29,-3.5,21/29,No Playoffs,https://www.basketball-reference.com/teams/BOS/1996.html
BOS,1997,15,67,103.9,26/29,111.4,25/29,-7.6,27/29,No Playoffs,https://www.basketball-reference.com/teams/BOS/1997.html
BOS,1998,36,46,102.6,23/29,105.4,16/29,-2.8,22/29,No Playoffs,https://www.basketball-reference.com/teams/BOS/1998.html
BOS,1999,19,31,100.4,20/29,102.4,14/29,-2.0,21/29,No Playoffs,https://www.basketball-reference.com/teams/BOS/1999.html
BOS,2000,35,47,104.8,14/29,105.6,18/29,-0.8,19/29,No Playoffs,https://www.basketball-reference.com/teams/BOS/2000.html
BOS,2001,36,46,101.4,17/29,103.7,15/29,-2.3,20/29,No Playoffs,https://www.basketball-reference.com/teams/BOS/2001.html
BOS,2002,49,33,103.4,18/29,101.0,5/29,2.4,10/29,Lost Round 3 (2-4),https://www.basketball-reference.com/teams/BOS/2002.html
BOS,2003,44,38,101.2,24/29,101.6,8/29,-0.4,18/29,Lost Round 2 (0-4),https://www.basketball-reference.com/teams/BOS/2003.html
BOS,2004,36,46,102.1,17/29,103.7,17/29,-1.6,19/29,Lost Round 1 (0-4),https://www.basketball-reference.com/teams/BOS/2004.html
BOS,2005,45,37,107.5,9/30,106.6,14/30,0.9,13/30,Lost Round 1 (3-4),https://www.basketball-reference.com/teams/BOS/2005.html
BOS,2006,33,49,105.2,19/30,106.9,20/30,-1.7,19/30,No Playoffs,https://www.basketball-reference.com/teams/BOS/2006.html
BOS,2007,24,58,103.2,28/30,106.9,16/30,-3.7,24/30,No Playoffs,https://www.basketball-reference.com/teams/BOS/2007.html
BOS,2008,66,16,110.2,10/30,98.9,1/30,11.2,1/30,Won Finals (4-2),https://www.basketball-reference.com/teams/BOS/2008.html
BOS,2009,62,20,110.5,6/30,102.3,2/30,8.2,2/30,Lost Round 2 (3-4),https://www.basketball-reference.com/teams/BOS/2009.html
BOS,2010,50,32,107.7,15/30,103.8,5/30,4.0,9/30,Lost Finals (3-4),https://www.basketball-reference.com/teams/BOS/2010.html
BOS,2011,56,26,106.2,18/30,100.3,2/30,5.9,6/30,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/BOS/2011.html
BOS,2012,39,27,101.0,27/30,98.2,1/30,2.8,11/30,Lost Round 3 (3-4),https://www.basketball-reference.com/teams/BOS/2012.html
BOS,2013,41,40,103.1,24/30,103.3,7/30,-0.2,16/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/BOS/2013.html
BOS,2014,25,57,102.9,27/30,107.7,18/30,-4.8,25/30,No Playoffs,https://www.basketball-reference.com/teams/BOS/2014.html
BOS,2015,40,42,104.7,18/30,104.5,12/30,0.2,18/30,Lost Round 1 (0-4),https://www.basketball-reference.com/teams/BOS/2015.html
BOS,2016,48,34,106.8,10/30,103.6,4/30,3.2,8/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/BOS/2016.html
BOS,2017,53,29,111.2,8/30,108.4,13/30,2.7,8/30,Lost Round 3 (1-4),https://www.basketball-reference.com/teams/BOS/2017.html
BOS,2018,55,27,107.6,18/30,103.9,1/30,3.7,6/30,Lost Round 3 (3-4),https://www.basketball-reference.com/teams/BOS/2018.html
BOS,2019,49,33,112.2,10/30,107.8,7/30,4.4,6/30,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/BOS/2019.html
BOS,2020,48,24,113.3,4/30,107.0,4/30,6.3,3/30,Lost Round 3 (2-4),https://www.basketball-reference.com/teams/BOS/2020.html
BOS,2021,36,36,114.0,10/30,112.5,14/30,1.5,13/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/BOS/2021.html
BOS,2022,14,14,109.1,17/30,108.0,11/30,1.2,13/30,No Playoffs,https://www.basketball-reference.com/teams/BOS/2022.html
BRK,2013,49,33,108.2,8/30,106.2,17/30,2.0,10/30,Lost Round 1 (3-4),https://www.basketball-reference.com/teams/BRK/2013.html
BRK,2014,44,38,106.7,14/30,107.7,20/30,-1.1,19/30,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/BRK/2014.html
BRK,2015,38,44,104.4,20/30,107.4,23/30,-3.1,22/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/BRK/2015.html
BRK,2016,21,61,103.2,27/30,110.9,29/30,-7.7,28/30,No Playoffs,https://www.basketball-reference.com/teams/BRK/2016.html
BRK,2017,20,62,104.1,28/30,110.7,23/30,-6.6,28/30,No Playoffs,https://www.basketball-reference.com/teams/BRK/2017.html
BRK,2018,28,54,106.9,21/30,110.6,22/30,-3.8,24/30,No Playoffs,https://www.basketball-reference.com/teams/BRK/2018.html
BRK,2019,42,40,109.6,19/30,109.7,14/30,-0.1,15/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/BRK/2019.html
BRK,2020,35,37,108.9,22/30,109.5,9/30,-0.6,15/30,Lost Round 1 (0-4),https://www.basketball-reference.com/teams/BRK/2020.html
BRK,2021,48,24,118.3,1/30,113.8,23/30,4.5,7/30,Lost Round 2 (3-4),https://www.basketball-reference.com/teams/BRK/2021.html
BRK,2022,20,8,110.6,8/30,107.0,6/30,3.6,6/30,No Playoffs,https://www.basketball-reference.com/teams/BRK/2022.html
CHA,2005,18,64,101.1,28/30,107.5,20/30,-6.4,28/30,No Playoffs,https://www.basketball-reference.com/teams/CHA/2005.html
CHA,2006,26,56,102.5,27/30,106.7,18/30,-4.2,27/30,No Playoffs,https://www.basketball-reference.com/teams/CHA/2006.html
CHA,2007,33,49,103.6,27/30,107.6,20/30,-4.0,26/30,No Playoffs,https://www.basketball-reference.com/teams/CHA/2007.html
CHA,2008,32,50,104.6,24/30,109.4,20/30,-4.7,22/30,No Playoffs,https://www.basketball-reference.com/teams/CHA/2008.html
CHA,2009,35,47,104.7,27/30,106.1,7/30,-1.4,20/30,No Playoffs,https://www.basketball-reference.com/teams/CHA/2009.html
CHA,2010,44,38,104.4,24/30,102.8,1/30,1.6,15/30,Lost Round 1 (0-4),https://www.basketball-reference.com/teams/CHA/2010.html
CHA,2011,34,48,103.4,26/30,107.8,17/30,-4.4,24/30,No Playoffs,https://www.basketball-reference.com/teams/CHA/2011.html
CHA,2012,7,59,95.2,30/30,110.4,30/30,-15.2,30/30,No Playoffs,https://www.basketball-reference.com/teams/CHA/2012.html
CHA,2013,21,61,101.5,28/30,111.5,30/30,-10.0,30/30,No Playoffs,https://www.basketball-reference.com/teams/CHA/2013.html
CHA,2014,43,39,103.6,24/30,103.8,5/30,-0.2,16/30,Lost Round 1 (0-4),https://www.basketball-reference.com/teams/CHA/2014.html
CHH,1989,20,62,103.7,21/25,112.1,25/25,-8.5,23/25,No Playoffs,https://www.basketball-reference.com/teams/CHH/1989.html
CHH,1990,19,63,102.0,25/27,109.9,22/27,-7.9,25/27,No Playoffs,https://www.basketball-reference.com/teams/CHH/1990.html
CHH,1991,26,56,105.0,22/27,110.4,24/27,-5.4,24/27,No Playoffs,https://www.basketball-reference.com/teams/CHH/1991.html
CHH,1992,31,51,107.1,17/27,110.9,24/27,-3.8,20/27,No Playoffs,https://www.basketball-reference.com/teams/CHH/1992.html
CHH,1993,44,38,109.5,9/27,109.7,19/27,-0.2,15/27,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/CHH/1993.html
CHH,1994,41,41,108.4,8/27,108.6,17/27,-0.2,17/27,No Playoffs,https://www.basketball-reference.com/teams/CHH/1994.html
CHH,1995,50,32,109.6,9/27,106.1,9/27,3.6,9/27,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/CHH/1995.html
CHH,1996,41,41,111.2,5/29,111.8,27/29,-0.6,17/29,No Playoffs,https://www.basketball-reference.com/teams/CHH/1996.html
CHH,1997,54,28,110.9,4/29,108.9,22/29,2.1,12/29,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/CHH/1997.html
CHH,1998,51,31,107.5,11/29,105.3,15/29,2.2,12/29,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/CHH/1998.html
CHH,1999,26,24,102.3,14/29,102.4,13/29,-0.1,16/29,No Playoffs,https://www.basketball-reference.com/teams/CHH/1999.html
CHH,2000,49,33,104.3,18/29,101.4,8/29,2.8,9/29,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/CHH/2000.html
CHH,2001,46,36,101.8,16/29,99.5,6/29,2.3,14/29,Lost Round 2 (3-4),https://www.basketball-reference.com/teams/CHH/2001.html
CHH,2002,44,38,104.3,15/29,103.3,10/29,1.1,13/29,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/CHH/2002.html
CHO,2015,33,49,100.1,28/30,103.5,9/30,-3.4,23/30,No Playoffs,https://www.basketball-reference.com/teams/CHO/2015.html
CHO,2016,48,34,107.1,9/30,104.3,8/30,2.8,9/30,Lost Round 1 (3-4),https://www.basketball-reference.com/teams/CHO/2016.html
CHO,2017,36,46,108.8,14/30,108.6,14/30,0.2,15/30,No Playoffs,https://www.basketball-reference.com/teams/CHO/2017.html
CHO,2018,36,46,109.4,13/30,109.1,16/30,0.3,17/30,No Playoffs,https://www.basketball-reference.com/teams/CHO/2018.html
CHO,2019,39,43,111.4,12/30,112.5,22/30,-1.1,19/30,No Playoffs,https://www.basketball-reference.com/teams/CHO/2019.html
CHO,2020,23,42,106.3,29/30,113.3,24/30,-7.0,27/30,No Playoffs,https://www.basketball-reference.com/teams/CHO/2020.html
CHO,2021,33,39,110.9,22/30,112.8,18/30,-2.0,23/30,No Playoffs,https://www.basketball-reference.com/teams/CHO/2021.html
CHO,2022,15,14,113.3,3/30,114.6,30/30,-1.3,21/30,No Playoffs,https://www.basketball-reference.com/teams/CHO/2022.html
CHI,1985,38,44,108.7,11/23,109.6,20/23,-0.8,14/23,Lost Round 1 (1-3),https://www.basketball-reference.com/teams/CHI/1985.html
CHI,1986,30,52,108.6,8/23,112.4,23/23,-3.8,21/23,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/CHI/1986.html
CHI,1987,40,42,108.6,12/23,107.6,11/23,0.9,9/23,Lost Round 1 (0-3),https://www.basketball-reference.com/teams/CHI/1987.html
CHI,1988,50,32,109.0,9/23,105.5,3/23,3.5,9/23,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/CHI/1988.html
CHI,1989,47,35,109.1,12/25,107.7,11/25,1.5,12/25,Lost Round 3 (2-4),https://www.basketball-reference.com/teams/CHI/1989.html
CHI,1990,55,27,112.3,5/27,109.0,19/27,3.3,9/27,Lost Round 3 (3-4),https://www.basketball-reference.com/teams/CHI/1990.html
CHI,1991,61,21,114.6,1/27,105.2,7/27,9.5,1/27,Won Finals (4-1),https://www.basketball-reference.com/teams/CHI/1991.html
CHI,1992,67,15,115.5,1/27,104.5,4/27,11.0,1/27,Won Finals (4-2),https://www.basketball-reference.com/teams/CHI/1992.html
CHI,1993,57,25,112.9,2/27,106.1,7/27,6.8,2/27,Won Finals (4-2),https://www.basketball-reference.com/teams/CHI/1993.html
CHI,1994,55,27,106.1,14/27,102.7,6/27,3.3,11/27,Lost Round 2 (3-4),https://www.basketball-reference.com/teams/CHI/1994.html
CHI,1995,47,35,109.5,10/27,104.3,2/27,5.2,5/27,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/CHI/1995.html
CHI,1996,72,10,115.2,1/29,101.8,1/29,13.4,1/29,Won Finals (4-2),https://www.basketball-reference.com/teams/CHI/1996.html
CHI,1997,69,13,114.4,1/29,102.4,4/29,12.0,1/29,Won Finals (4-2),https://www.basketball-reference.com/teams/CHI/1997.html
CHI,1998,62,20,107.7,9/29,99.8,3/29,7.9,3/29,Won Finals (4-2),https://www.basketball-reference.com/teams/CHI/1998.html
CHI,1999,13,37,92.4,29/29,103.0,16/29,-10.7,29/29,No Playoffs,https://www.basketball-reference.com/teams/CHI/1999.html
CHI,2000,17,65,94.2,29/29,104.6,16/29,-10.4,28/29,No Playoffs,https://www.basketball-reference.com/teams/CHI/2000.html
CHI,2001,15,67,97.2,29/29,107.3,27/29,-10.1,29/29,No Playoffs,https://www.basketball-reference.com/teams/CHI/2001.html
CHI,2002,21,61,98.2,28/29,107.6,24/29,-9.4,29/29,No Playoffs,https://www.basketball-reference.com/teams/CHI/2002.html
CHI,2003,30,52,100.2,26/29,105.6,21/29,-5.4,25/29,No Playoffs,https://www.basketball-reference.com/teams/CHI/2003.html
CHI,2004,23,59,96.6,29/29,103.4,16/29,-6.8,28/29,No Playoffs,https://www.basketball-reference.com/teams/CHI/2004.html
CHI,2005,47,35,101.4,27/30,100.3,2/30,1.1,12/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/CHI/2005.html
CHI,2006,41,41,104.0,23/30,103.4,7/30,0.7,14/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/CHI/2006.html
CHI,2007,49,33,104.9,21/30,99.6,1/30,5.3,4/30,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/CHI/2007.html
CHI,2008,33,49,103.9,26/30,107.2,14/30,-3.3,21/30,No Playoffs,https://www.basketball-reference.com/teams/CHI/2008.html
CHI,2009,41,41,108.4,15/30,108.7,18/30,-0.3,16/30,Lost Round 1 (3-4),https://www.basketball-reference.com/teams/CHI/2009.html
CHI,2010,41,41,103.5,27/30,105.3,11/30,-1.7,18/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/CHI/2010.html
CHI,2011,62,20,108.3,11/30,100.3,1/30,8.0,2/30,Lost Round 3 (1-4),https://www.basketball-reference.com/teams/CHI/2011.html
CHI,2012,50,16,107.4,5/30,98.3,2/30,9.1,1/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/CHI/2012.html
CHI,2013,45,37,103.5,23/30,103.2,6/30,0.4,14/30,Lost Round 2 (1-4),https://www.basketball-reference.com/teams/CHI/2013.html
CHI,2014,48,34,102.5,28/30,100.5,2/30,2.0,13/30,Lost Round 1 (1-4),https://www.basketball-reference.com/teams/CHI/2014.html
CHI,2015,50,32,107.5,11/30,104.3,11/30,3.2,10/30,Lost Round 2 (2-4),https://www.basketball-reference.com/teams/CHI/2015.html
CHI,2016,42,40,105.0,23/30,106.5,15/30,-1.5,18/30,No Playoffs,https://www.basketball-reference.com/teams/CHI/2016.html
CHI,2017,41,41,107.4,20/30,107.0,6/30,0.4,14/30,Lost Round 1 (2-4),https://www.basketball-reference.com/teams/CHI/2017.html
CHI,2018,27,55,103.8,28/30,110.9,24/30,-7.1,28/30,No Playoffs,https://www.basketball-reference.com/teams/CHI/2018.html
CHI,2019,22,60,104.8,29/30,113.2,25/30,-8.4,27/30,No Playoffs,https://www.basketball-reference.com/teams/CHI/2019.html
